,mean_abs_shap,std_shap,positive_ratio,negative_ratio,correlation
Molecular radius (nm),7.378942775023442,10.090633529808798,0.5308641975308642,0.3765432098765432,0.9180666071712664
MW (Da),4.890786057240662,7.208126563376586,0.38271604938271603,0.37037037037037035,0.9178775225532553
Pure water flux (L·m-2·h-1),4.629760827919825,6.280480984438715,0.5987654320987654,0.25925925925925924,-0.8823544051344382
Pore radius (nm),5.366296891125852,8.280090249510387,0.3765432098765432,0.4074074074074074,-0.9619023129385649
Filtration duration (h),4.2930491976030405,6.637533328630412,0.6604938271604939,0.25308641975308643,-0.5775394869466114
Molecular charge,1.9302933249292877,2.684428160268907,0.4012345679012346,0.25308641975308643,-0.7092568561472417
